SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
145.56,39.4786407,-0.346329,53.58,0.7,0.0,-0.0,0.7,0.05,0.0,-1.32
145.59,39.4786407,-0.346329,53.61,0.7,0.0,-0.0,0.7,0.05,0.0,-1.32
145.62,39.4786407,-0.346329,53.66,0.7,0.0,-0.0,0.7,0.05,0.0,-1.33
145.66,39.4786407,-0.346329,53.72,0.7,0.0,-0.0,0.7,0.05,0.0,-1.33
145.7,39.4786407,-0.346329,53.75,0.7,0.0,-0.0,0.7,0.05,0.0,-1.34
145.73,39.4786408,-0.346329,53.81,0.7,0.0,-0.0,0.7,0.05,0.0,-1.34
145.76,39.4786408,-0.3463289,53.87,0.7,0.0,-0.0,0.7,0.05,-0.0,-1.34
145.79,39.4786408,-0.3463289,53.89,0.7,0.0,-0.0,0.7,0.05,-0.0,-1.35
145.82,39.4786408,-0.3463289,53.95,0.7,0.0,-0.0,0.7,0.05,-0.0,-1.35
145.86,39.4786408,-0.3463289,54.0,0.7,0.0,-0.0,0.7,0.05,-0.0,-1.35
145.9,39.4786408,-0.3463289,54.04,0.7,0.0,-0.0,0.7,0.05,-0.0,-1.36
145.93,39.4786408,-0.3463289,54.09,0.7,0.0,-0.0,0.7,0.04,-0.0,-1.36
145.96,39.4786408,-0.3463289,54.15,0.7,0.0,-0.0,0.7,0.04,-0.0,-1.36
145.99,39.4786408,-0.3463289,54.17,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.37
146.02,39.4786408,-0.3463289,54.23,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.37
146.06,39.4786408,-0.3463288,54.29,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.37
146.1,39.4786408,-0.3463288,54.33,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.38
146.13,39.4786408,-0.3463288,54.39,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.38
146.16,39.4786408,-0.3463288,54.44,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.38
146.19,39.4786408,-0.3463288,54.47,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.38
146.22,39.4786408,-0.3463288,54.53,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.38
146.26,39.4786408,-0.3463288,54.58,0.7,0.0,-0.0,0.7,0.04,-0.01,-1.39
